Date,Vehicle Class,"Vehicle Year, Make, & Model",Average Fuel Efficiency,Equipment Number
2022-04,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,21,0736
2022-04,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,17,0796
2022-05,Intermediate Sedan,2013  TOYOTA  2013 TOYOTA CAMRY HYBRID,39,0051
2022-05,Intermediate Sedan,2022  TOYOTA  2022 TOYOTA CAMRY HYBRID,40,0883
2022-05,Intermediate Sedan,2022  TOYOTA  2022 TOYOTA CAMRY HYBRID,46,0884
2022-05,Intermediate Sedan,2022  TOYOTA  2022 TOYOTA CAMRY HYBRID,47,0885
2022-05,Intermediate Sedan,2010  TOYOTA  2010 TOYOTA CAMRY HYBRID,36,2780
2022-05,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,15,0744
2022-05,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,18,0768
2022-01,Compact Sedan,2008  HYUNDAI  2008 HYUNDAI ELANTRA,12,2856
2022-01,Intermediate Sedan,2013  TOYOTA  2013 TOYOTA CAMRY HYBRID,33,0018
2022-01,Intermediate Sedan,2019  TOYOTA  2019 TOYOTA CAMRY HYBRID,42,0668
2022-01,Sport Utility Compact,2017  FORD  2017 FORD ESCAPE HYBRID,11,0354
2022-01,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,9,0744
2022-01,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,19,0797
2022-01,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,24,0798
2022-02,Compact Sedan,2010  HONDA  2010 HONDA INSIGHT HYBRID,28,2845
2022-02,Intermediate Sedan,2019  TOYOTA  2019 TOYOTA CAMRY HYBRID,40,0667
